CODE,BRAND,MODEL,FIX PRICE
1,SAMSUNG,Galaxy S21+,281.82
1,SAMSUNG,Galaxy A13,69.09
1,SAMSUNG,Galaxy A03s,105.45
1,SAMSUNG,Galaxy A52,127.27
1,SAMSUNG,Galaxy A53,154.55
1,SAMSUNG,Galaxy A23,72.73
1,SAMSUNG,Galaxy A03,103.64
2,TECNO,POP 2f (B1C),40.00
2,TECNO,POP 3 (BB2),41.82
2,TECNO,CAMON 17 PRO,63.64
2,TECNO,POP 5,44.55
2,TECNO,CAMON 18,63.64
2,TECNO,CAMON 18i,63.64
2,TECNO,SPARK 8,45.45
2,TECNO,SPARK 8P,47.27
2,TECNO,POVA NEO LE6,50.91
2,TECNO,T101,30.00
2,TECNO,T301,30.00
2,TECNO,T313,30.00
2,TECNO,T372,30.00
2,TECNO,SPARK 8C,47.27
2,TECNO,POP 6,47.27
2,TECNO,CAMON 19,45.45
2,TECNO,SPARK 9,43.64
3,INFINIX,NOTE 10,60.00
3,INFINIX,NOTE 11,63.64
3,INFINIX,NOTE 11i,63.64
3,INFINIX,HOT 11,50.91
3,INFINIX,SMART 6,45.45
3,INFINIX,HOT 121,50.91
3,INFINIX,HOT 12,50.91
3,INFINIX,NOTE 12i,63.64
4,ITEL,A16,35.45
4,ITEL,A14,33.64
4,ITEL,S17,50.91
4,ITEL,2173,29.09
4,ITEL,2160,29.09
4,ITEL,A25,39.09
4,ITEL,A33,35.45
4,ITEL,A58,47.27
4,ITEL,P17,45.45
4,ITEL,P38,45.45
5,APPLE,13 PRO,445.45
5,APPLE,13,272.73
5,APPLE,12 PRO,123.64
5,APPLE,11,100.00
5,APPLE,10,87.27
